,sender_num,platform,ave_total_time,data_num,data_size,throughput[GB/s]
0,1,GPU-MPI,0.093158,640,8,0.052414312243714976
1,1,GPU-MPI,0.093337,640,8,0.052313793029559554
2,1,GPU-MPI,0.093312,640,8,0.05232780885631001
3,1,GPU-MPI,0.093281,640,8,0.052345198915105966
4,1,GPU-MPI,0.093196,640,8,0.052392940684149535
5,1,GPU-MPI,0.093076,640,8,0.05246048927757961
6,1,GPU-MPI,0.093082,640,8,0.052457107711480204
7,1,GPU-MPI,0.093141,640,8,0.052423878850345176
8,1,GPU-MPI,0.093149,640,8,0.05241937648283933
9,1,GPU-MPI,0.093143,640,8,0.05242275318596137
10,1,GPU-MPI,0.093119,640,8,0.05243626434991785
11,1,GPU-MPI,0.093113,640,8,0.05243964322919464
12,1,GPU-MPI,0.093112,640,8,0.05244020641807715
13,1,GPU-MPI,0.093146,640,8,0.05242106478002276
14,1,GPU-MPI,0.093112,640,8,0.05244020641807715
15,1,GPU-MPI,0.093156,640,8,0.0524154375456224
16,1,GPU-MPI,0.093149,640,8,0.05241937648283933
17,1,GPU-MPI,0.093155,640,8,0.05241600021469594
18,1,GPU-MPI,0.09312,640,8,0.05243570124570447
19,1,GPU-MPI,0.093123,640,8,0.052434012005626966
20,1,GPU-MPI,0.093147,640,8,0.052420502002211565
21,1,GPU-MPI,0.093108,640,8,0.05244245929458264
22,1,GPU-MPI,0.093112,640,8,0.05244020641807715
23,1,GPU-MPI,0.093103,640,8,0.052445275662438375
24,1,GPU-MPI,0.093103,640,8,0.052445275662438375
25,1,GPU-MPI,0.093096,640,8,0.052449219085675
26,1,GPU-MPI,0.093095,640,8,0.0524497824802621
27,1,GPU-MPI,0.093103,640,8,0.052445275662438375
28,1,GPU-MPI,0.093101,640,8,0.05244640229428255
29,1,GPU-MPI,0.093103,640,8,0.052445275662438375
30,1,GPU-MPI,0.093092,640,8,0.052451472736647624
31,1,GPU-MPI,0.093108,640,8,0.05244245929458264
32,1,GPU-MPI,0.093101,640,8,0.05244640229428255
33,1,GPU-MPI,0.093099,640,8,0.05244752897453249
34,1,GPU-MPI,0.093089,640,8,0.05245316310197767
35,1,GPU-MPI,0.09315,640,8,0.05241881374127751
36,1,GPU-MPI,0.093143,640,8,0.05242275318596137
37,1,GPU-MPI,0.093101,640,8,0.05244640229428255
38,1,GPU-MPI,0.093102,640,8,0.052445838972309936
39,1,GPU-MPI,0.093167,640,8,0.052409248983009006
40,1,GPU-MPI,0.093141,640,8,0.052423878850345176
41,1,GPU-MPI,0.093106,640,8,0.052443585805426074
42,1,GPU-MPI,0.0931,640,8,0.05244696562835661
43,1,GPU-MPI,0.093106,640,8,0.052443585805426074
44,1,GPU-MPI,0.093096,640,8,0.052449219085675
45,1,GPU-MPI,0.093097,640,8,0.052448655703191294
46,1,GPU-MPI,0.09309,640,8,0.05245259963476206
47,1,GPU-MPI,0.093156,640,8,0.0524154375456224
48,1,GPU-MPI,0.093134,640,8,0.05242781905641334
49,1,GPU-MPI,0.093115,640,8,0.052438516887719486
50,1,GPU-MPI,0.093103,640,8,0.052445275662438375
51,1,GPU-MPI,0.093095,640,8,0.0524497824802621
52,1,GPU-MPI,0.093104,640,8,0.05244471236466747
53,1,GPU-MPI,0.093104,640,8,0.05244471236466747
54,1,GPU-MPI,0.093112,640,8,0.05244020641807715
55,1,GPU-MPI,0.093106,640,8,0.052443585805426074
56,1,GPU-MPI,0.093107,640,8,0.05244302254395481
57,1,GPU-MPI,0.09311,640,8,0.052441332832134036
58,1,GPU-MPI,0.093105,640,8,0.05244414907899683
59,1,GPU-MPI,0.093107,640,8,0.05244302254395481
60,1,GPU-MPI,0.093106,640,8,0.052443585805426074
61,1,GPU-MPI,0.093109,640,8,0.05244189605730918
62,1,GPU-MPI,0.093139,640,8,0.0524250045630724
63,1,GPU-MPI,0.093142,640,8,0.05242331601211054
64,1,GPU-MPI,0.093119,640,8,0.05243626434991785
65,1,GPU-MPI,0.093113,640,8,0.05243964322919464
66,1,GPU-MPI,0.093105,640,8,0.05244414907899683
67,1,GPU-MPI,0.093119,640,8,0.05243626434991785
68,1,GPU-MPI,0.093107,640,8,0.05244302254395481
69,1,GPU-MPI,0.093111,640,8,0.052440769619056825
70,1,GPU-MPI,0.093103,640,8,0.052445275662438375
71,1,GPU-MPI,0.093098,640,8,0.052448092332810586
72,1,GPU-MPI,0.093095,640,8,0.0524497824802621
73,1,GPU-MPI,0.093095,640,8,0.0524497824802621
74,1,GPU-MPI,0.093086,640,8,0.05245485357626281
75,1,GPU-MPI,0.093091,640,8,0.052452036179652176
76,1,GPU-MPI,0.093104,640,8,0.05244471236466747
77,1,GPU-MPI,0.093104,640,8,0.05244471236466747
78,1,GPU-MPI,0.093107,640,8,0.05244302254395481
79,1,GPU-MPI,0.093107,640,8,0.05244302254395481
80,1,GPU-MPI,0.093104,640,8,0.05244471236466747
81,1,GPU-MPI,0.093102,640,8,0.052445838972309936
82,1,GPU-MPI,0.093103,640,8,0.052445275662438375
83,1,GPU-MPI,0.093097,640,8,0.052448655703191294
84,1,GPU-MPI,0.0931,640,8,0.05244696562835661
85,1,GPU-MPI,0.093099,640,8,0.05244752897453249
86,1,GPU-MPI,0.093103,640,8,0.052445275662438375
87,1,GPU-MPI,0.093091,640,8,0.052452036179652176
88,1,GPU-MPI,0.093088,640,8,0.05245372658129941
89,1,GPU-MPI,0.093129,640,8,0.05243063385196877
90,1,GPU-MPI,0.093133,640,8,0.05242838199134572
91,1,GPU-MPI,0.093092,640,8,0.052451472736647624
92,1,GPU-MPI,0.093106,640,8,0.052443585805426074
93,1,GPU-MPI,0.093101,640,8,0.05244640229428255
94,1,GPU-MPI,0.093098,640,8,0.052448092332810586
95,1,GPU-MPI,0.093107,640,8,0.05244302254395481
96,1,GPU-MPI,0.093102,640,8,0.052445838972309936
97,1,GPU-MPI,0.093103,640,8,0.052445275662438375
98,1,GPU-MPI,0.093103,640,8,0.052445275662438375
99,1,GPU-MPI,0.093098,640,8,0.052448092332810586
100,1,GPU-MPI,0.093101,640,8,0.05244640229428255
101,1,GPU-MPI,0.093093,640,8,0.05245090930574802
102,1,GPU-MPI,0.093093,640,8,0.05245090930574802
103,1,GPU-MPI,0.093101,640,8,0.05244640229428255
104,1,GPU-MPI,0.093107,640,8,0.05244302254395481
105,1,GPU-MPI,0.093104,640,8,0.05244471236466747
106,1,GPU-MPI,0.093111,640,8,0.052440769619056825
107,1,GPU-MPI,0.0931,640,8,0.05244696562835661
108,1,GPU-MPI,0.093101,640,8,0.05244640229428255
109,1,GPU-MPI,0.09312,640,8,0.05243570124570447
110,1,GPU-MPI,0.093096,640,8,0.052449219085675
111,1,GPU-MPI,0.093092,640,8,0.052451472736647624
112,1,GPU-MPI,0.093105,640,8,0.05244414907899683
113,1,GPU-MPI,0.093105,640,8,0.05244414907899683
114,1,GPU-MPI,0.093106,640,8,0.052443585805426074
115,1,GPU-MPI,0.093103,640,8,0.052445275662438375
116,1,GPU-MPI,0.093117,640,8,0.052437390594628264
117,1,GPU-MPI,0.093144,640,8,0.05242219037189728
118,1,GPU-MPI,0.093145,640,8,0.05242162756991787
119,1,GPU-MPI,0.093113,640,8,0.05243964322919464
120,1,GPU-MPI,0.093106,640,8,0.052443585805426074
121,1,GPU-MPI,0.093104,640,8,0.05244471236466747
122,1,GPU-MPI,0.093101,640,8,0.05244640229428255
123,1,GPU-MPI,0.0931,640,8,0.05244696562835661
124,1,GPU-MPI,0.093121,640,8,0.05243513815358512
125,1,GPU-MPI,0.093102,640,8,0.052445838972309936
126,1,GPU-MPI,0.093099,640,8,0.05244752897453249
127,1,GPU-MPI,0.093109,640,8,0.05244189605730918
128,1,GPU-MPI,0.093103,640,8,0.052445275662438375
129,1,GPU-MPI,0.093096,640,8,0.052449219085675
130,1,GPU-MPI,0.093102,640,8,0.052445838972309936
131,1,GPU-MPI,0.093111,640,8,0.052440769619056825
132,1,GPU-MPI,0.093095,640,8,0.0524497824802621
133,1,GPU-MPI,0.093103,640,8,0.052445275662438375
134,1,GPU-MPI,0.093098,640,8,0.052448092332810586
135,1,GPU-MPI,0.09309,640,8,0.05245259963476206
136,1,GPU-MPI,0.093097,640,8,0.052448655703191294
137,1,GPU-MPI,0.093097,640,8,0.052448655703191294
138,1,GPU-MPI,0.093116,640,8,0.052437953735126074
139,1,GPU-MPI,0.093108,640,8,0.05244245929458264
140,1,GPU-MPI,0.093104,640,8,0.05244471236466747
141,1,GPU-MPI,0.093161,640,8,0.05241262438144718
142,1,GPU-MPI,0.093104,640,8,0.05244471236466747
143,1,GPU-MPI,0.093107,640,8,0.05244302254395481
144,1,GPU-MPI,0.09314,640,8,0.05242444170066567
145,1,GPU-MPI,0.093131,640,8,0.052429507897477745
146,1,GPU-MPI,0.093089,640,8,0.05245316310197767
147,1,GPU-MPI,0.093102,640,8,0.052445838972309936
148,1,GPU-MPI,0.093096,640,8,0.052449219085675
149,1,GPU-MPI,0.093103,640,8,0.052445275662438375
150,1,GPU-MPI,0.093098,640,8,0.052448092332810586
151,1,GPU-MPI,0.09311,640,8,0.052441332832134036
152,1,GPU-MPI,0.093124,640,8,0.05243344894978738
153,1,GPU-MPI,0.093104,640,8,0.05244471236466747
154,1,GPU-MPI,0.093109,640,8,0.05244189605730918
155,1,GPU-MPI,0.0931,640,8,0.05244696562835661
156,1,GPU-MPI,0.093099,640,8,0.05244752897453249
157,1,GPU-MPI,0.093107,640,8,0.05244302254395481
158,1,GPU-MPI,0.093109,640,8,0.05244189605730918
159,1,GPU-MPI,0.093101,640,8,0.05244640229428255
160,1,GPU-MPI,0.09311,640,8,0.052441332832134036
161,1,GPU-MPI,0.093097,640,8,0.052448655703191294
